Kommune - sannsynlighet for bosetting (basert pa antall vedtatte flyktninger)
Total (sum av vedtatte tall): 9853
Presisjon: 2 desimaler
--------------------------------------------------------------------------------
Akershus | Eidsvoll: 0.21%  (vedtatt å bosette: 21)
Akershus | Jevnaker: 0.21%  (vedtatt å bosette: 21)
Finnmark | Nordkapp: 0.21%  (vedtatt å bosette: 21)
Finnmark | Tana: 0.21%  (vedtatt å bosette: 21)
Agder | Flekkefjord: 0.20%  (vedtatt å bosette: 20)
Innlandet | Nord-Fron: 0.20%  (vedtatt å bosette: 20)
Innlandet | Rendalen: 0.20%  (vedtatt å bosette: 20)
Innlandet | Sel: 0.20%  (vedtatt å bosette: 20)
Innlandet | Tynset: 0.20%  (vedtatt å bosette: 20)
Innlandet | Vågå: 0.20%  (vedtatt å bosette: 20)
Møre og Romsdal | Aure: 0.20%  (vedtatt å bosette: 20)
Møre og Romsdal | Fjord: 0.20%  (vedtatt å bosette: 20)
Møre og Romsdal | Giske: 0.20%  (vedtatt å bosette: 20)
Møre og Romsdal | Gjemnes: 0.20%  (vedtatt å bosette: 20)
Møre og Romsdal | Rauma: 0.20%  (vedtatt å bosette: 20)
Møre og Romsdal | Surnadal: 0.20%  (vedtatt å bosette: 20)
Nordland | Dønna: 0.20%  (vedtatt å bosette: 20)
Nordland | Evenes: 0.20%  (vedtatt å bosette: 20)
Nordland | Fauske: 0.20%  (vedtatt å bosette: 20)
Nordland | Hemnes: 0.20%  (vedtatt å bosette: 20)
Nordland | Lødingen: 0.20%  (vedtatt å bosette: 20)
Nordland | Saltdal: 0.20%  (vedtatt å bosette: 20)
Nordland | Sortland: 0.20%  (vedtatt å bosette: 20)
Nordland | Steigen: 0.20%  (vedtatt å bosette: 20)
Nordland | Sømna: 0.20%  (vedtatt å bosette: 20)
Rogaland | Randaberg: 0.20%  (vedtatt å bosette: 20)
Telemark | Fyresdal: 0.20%  (vedtatt å bosette: 20)
Telemark | Notodden: 0.20%  (vedtatt å bosette: 20)
Troms | Salangen: 0.20%  (vedtatt å bosette: 20)
Troms | Skjervøy: 0.20%  (vedtatt å bosette: 20)
Troms | Tjeldsund: 0.20%  (vedtatt å bosette: 20)
Trøndelag | Midtre Gauldal: 0.20%  (vedtatt å bosette: 20)
Trøndelag | Overhalla: 0.20%  (vedtatt å bosette: 20)
Vestland | Lærdal: 0.20%  (vedtatt å bosette: 20)
Vestland | Tysnes: 0.20%  (vedtatt å bosette: 20)
Vestland | Vaksdal: 0.20%  (vedtatt å bosette: 20)
Østfold | Våler: 0.20%  (vedtatt å bosette: 20)
Trøndelag | Grong: 0.19%  (vedtatt å bosette: 19)
Innlandet | Lom: 0.18%  (vedtatt å bosette: 18)
Innlandet | Vang: 0.18%  (vedtatt å bosette: 18)
Vestland | Vik: 0.18%  (vedtatt å bosette: 18)
Rogaland | Sauda: 0.16%  (vedtatt å bosette: 16)
Rogaland | Suldal: 0.16%  (vedtatt å bosette: 16)
Buskerud | Flesberg: 0.15%  (vedtatt å bosette: 15)
Buskerud | Hemsedal: 0.15%  (vedtatt å bosette: 15)
Finnmark | Båtsfjord: 0.15%  (vedtatt å bosette: 15)
Innlandet | Nord-Aurdal: 0.15%  (vedtatt å bosette: 15)
Innlandet | Ringebu: 0.15%  (vedtatt å bosette: 15)
Innlandet | Sør-Fron: 0.15%  (vedtatt å bosette: 15)
Innlandet | Vestre Slidre: 0.15%  (vedtatt å bosette: 15)
Innlandet | Åmot: 0.15%  (vedtatt å bosette: 15)
Nordland | Hamarøy: 0.15%  (vedtatt å bosette: 15)
Nordland | Lurøy: 0.15%  (vedtatt å bosette: 15)
Nordland | Meløy: 0.15%  (vedtatt å bosette: 15)
Rogaland | Eigersund: 0.15%  (vedtatt å bosette: 15)
Rogaland | Strand: 0.15%  (vedtatt å bosette: 15)
Telemark | Hjartdal: 0.15%  (vedtatt å bosette: 15)
Telemark | Nissedal: 0.15%  (vedtatt å bosette: 15)
Telemark | Seljord: 0.15%  (vedtatt å bosette: 15)
Telemark | Vinje: 0.15%  (vedtatt å bosette: 15)
Trøndelag | Frosta: 0.15%  (vedtatt å bosette: 15)
Trøndelag | Frøya: 0.15%  (vedtatt å bosette: 15)
Trøndelag | Lierne: 0.15%  (vedtatt å bosette: 15)
Trøndelag | Rindal: 0.15%  (vedtatt å bosette: 15)
Trøndelag | Selbu: 0.15%  (vedtatt å bosette: 15)
Vestland | Austevoll: 0.15%  (vedtatt å bosette: 15)
Vestland | Årdal: 0.15%  (vedtatt å bosette: 15)
Østfold | Råde: 0.15%  (vedtatt å bosette: 15)
Innlandet | Trysil: 0.13%  (vedtatt å bosette: 13)
Telemark | Tokke: 0.13%  (vedtatt å bosette: 13)
Vestfold | Horten: 0.13%  (vedtatt å bosette: 13)
Agder | Vegårshei: 0.12%  (vedtatt å bosette: 12)
Buskerud | Nesbyen: 0.12%  (vedtatt å bosette: 12)
Innlandet | Folldal: 0.12%  (vedtatt å bosette: 12)
Innlandet | Os: 0.12%  (vedtatt å bosette: 12)
Innlandet | Tolga: 0.12%  (vedtatt å bosette: 12)
Trøndelag | Rennebu: 0.12%  (vedtatt å bosette: 12)
Agder | Lillesand: 0.10%  (vedtatt å bosette: 10)
Agder | Sirdal: 0.10%  (vedtatt å bosette: 10)
Agder | Tvedestrand: 0.10%  (vedtatt å bosette: 10)
Akershus | Hurdal: 0.10%  (vedtatt å bosette: 10)
Akershus | Nannestad: 0.10%  (vedtatt å bosette: 10)
Buskerud | Krødsherad: 0.10%  (vedtatt å bosette: 10)
Finnmark | Karasjok: 0.10%  (vedtatt å bosette: 10)
Finnmark | Lebesby: 0.10%  (vedtatt å bosette: 10)
Finnmark | Loppa: 0.10%  (vedtatt å bosette: 10)
Innlandet | Alvdal: 0.10%  (vedtatt å bosette: 10)
Innlandet | Dovre: 0.10%  (vedtatt å bosette: 10)
Innlandet | Etnedal: 0.10%  (vedtatt å bosette: 10)
Innlandet | Gausdal: 0.10%  (vedtatt å bosette: 10)
Innlandet | Lesja: 0.10%  (vedtatt å bosette: 10)
Innlandet | Løten: 0.10%  (vedtatt å bosette: 10)
Innlandet | Skjåk: 0.10%  (vedtatt å bosette: 10)
Innlandet | Stor-Elvdal: 0.10%  (vedtatt å bosette: 10)
Innlandet | Sør-Aurdal: 0.10%  (vedtatt å bosette: 10)
Innlandet | Øyer: 0.10%  (vedtatt å bosette: 10)
Møre og Romsdal | Aukra: 0.10%  (vedtatt å bosette: 10)
Møre og Romsdal | Smøla: 0.10%  (vedtatt å bosette: 10)
Møre og Romsdal | Tingvoll: 0.10%  (vedtatt å bosette: 10)
Nordland | Beiarn: 0.10%  (vedtatt å bosette: 10)
Nordland | Bindal: 0.10%  (vedtatt å bosette: 10)
Nordland | Grane: 0.10%  (vedtatt å bosette: 10)
Nordland | Hattfjelldal: 0.10%  (vedtatt å bosette: 10)
Nordland | Herøy: 0.10%  (vedtatt å bosette: 10)
Rogaland | Bjerkreim: 0.10%  (vedtatt å bosette: 10)
Rogaland | Hjelmeland: 0.10%  (vedtatt å bosette: 10)
Telemark | Drangedal: 0.10%  (vedtatt å bosette: 10)
Troms | Kvæfjord: 0.10%  (vedtatt å bosette: 10)
Troms | Kåfjord: 0.10%  (vedtatt å bosette: 10)
Troms | Lavangen: 0.10%  (vedtatt å bosette: 10)
Troms | Storfjord: 0.10%  (vedtatt å bosette: 10)
Trøndelag | Holtålen: 0.10%  (vedtatt å bosette: 10)
Trøndelag | Indre Fosen: 0.10%  (vedtatt å bosette: 10)
Trøndelag | Namsskogan: 0.10%  (vedtatt å bosette: 10)
Trøndelag | Nærøysund: 0.10%  (vedtatt å bosette: 10)
Trøndelag | Osen: 0.10%  (vedtatt å bosette: 10)
Vestfold | Færder: 0.10%  (vedtatt å bosette: 10)
Vestfold | Holmestrand: 0.10%  (vedtatt å bosette: 10)
Vestland | Aurland: 0.10%  (vedtatt å bosette: 10)
Vestland | Austrheim: 0.10%  (vedtatt å bosette: 10)
Vestland | Fjaler: 0.10%  (vedtatt å bosette: 10)
Vestland | Hyllestad: 0.10%  (vedtatt å bosette: 10)
Vestland | Masfjorden: 0.10%  (vedtatt å bosette: 10)
Vestland | Solund: 0.10%  (vedtatt å bosette: 10)
Vestland | Stord: 0.10%  (vedtatt å bosette: 10)
Østfold | Aremark: 0.10%  (vedtatt å bosette: 10)
Østfold | Sarpsborg: 0.10%  (vedtatt å bosette: 10)
Østfold | Skiptvet: 0.10%  (vedtatt å bosette: 10)
Rogaland | Lund: 0.08%  (vedtatt å bosette: 8)
Østfold | Hvaler: 0.08%  (vedtatt å bosette: 8)
Troms | Dyrøy: 0.07%  (vedtatt å bosette: 7)
Buskerud | Flå: 0.06%  (vedtatt å bosette: 6)
Agder | Hægebostad: 0.05%  (vedtatt å bosette: 5)
Agder | Iveland: 0.05%  (vedtatt å bosette: 5)
Agder | Valle: 0.05%  (vedtatt å bosette: 5)
Agder | Åmli: 0.05%  (vedtatt å bosette: 5)
Agder | Åseral: 0.05%  (vedtatt å bosette: 5)
Akershus | Gjerdrum: 0.05%  (vedtatt å bosette: 5)
Buskerud | Hole: 0.05%  (vedtatt å bosette: 5)
Finnmark | Porsanger: 0.05%  (vedtatt å bosette: 5)
Møre og Romsdal | Sande: 0.05%  (vedtatt å bosette: 5)
Møre og Romsdal | Vanylven: 0.05%  (vedtatt å bosette: 5)
Rogaland | Bokn: 0.05%  (vedtatt å bosette: 5)
Rogaland | Sokndal: 0.05%  (vedtatt å bosette: 5)
Trøndelag | Flatanger: 0.05%  (vedtatt å bosette: 5)
Vestland | Eidfjord: 0.05%  (vedtatt å bosette: 5)
Vestland | Samnanger: 0.05%  (vedtatt å bosette: 5)
Østfold | Rakkestad: 0.05%  (vedtatt å bosette: 5)
